"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"46537.184014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46537.184014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46537.192014";"Altitude (GPS)";"874.299987792969";"m";"13.0157822";"77.5656214";
"46537.193014";"Altitude (GPS)";"874.299987792969";"m";"13.0157822";"77.5656214";
"46537.197014";"Altitude (GPS)";"874.299987792969";"m";"13.0157822";"77.5656214";
"46537.197014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46537.197014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46537.198014";"Altitude (GPS)";"874.299987792969";"m";"13.0157822";"77.5656214";
"46537.198014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46537.198014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46541.956014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46541.956014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46541.957014";"Altitude (GPS)";"872";"m";"13.0157822";"77.5656214";
"46541.957014";"Altitude (GPS)";"872";"m";"13.0157822";"77.5656214";
"46541.957014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46541.957014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46542.011014";"Altitude (GPS)";"874.299987792969";"m";"13.0157822";"77.5656214";
"46542.011014";"Average speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46542.011014";"Speed (GPS)";"0";"km/h";"13.0157822";"77.5656214";
"46542.431014";"Altitude (GPS)";"873.700012207031";"m";"13.0159218";"77.5656546";
"46542.432014";"Altitude (GPS)";"873.700012207031";"m";"13.0159218";"77.5656546";
"46542.432014";"Altitude (GPS)";"873.700012207031";"m";"13.0159218";"77.5656546";
"46542.432014";"Average speed (GPS)";"0";"km/h";"13.0159218";"77.5656546";
"46542.432014";"Average speed (GPS)";"0";"km/h";"13.0159218";"77.5656546";
"46542.432014";"Speed (GPS)";"0";"km/h";"13.0159218";"77.5656546";
"46542.432014";"Speed (GPS)";"0";"km/h";"13.0159218";"77.5656546";
"46547.291014";"Altitude (GPS)";"863";"m";"13.0158133333333";"77.5656683333333";
"46548.605014";"Average speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.605014";"Speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.606014";"Altitude (GPS)";"873.700012207031";"m";"13.0158133333333";"77.5656683333333";
"46548.609014";"Altitude (GPS)";"874.299987792969";"m";"13.0158133333333";"77.5656683333333";
"46548.609014";"Altitude (GPS)";"874.299987792969";"m";"13.0158133333333";"77.5656683333333";
"46548.609014";"Average speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.609014";"Average speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.609014";"Speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.609014";"Speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.611014";"Altitude (GPS)";"874.299987792969";"m";"13.0158133333333";"77.5656683333333";
"46548.611014";"Average speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.611014";"Speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.616014";"Altitude (GPS)";"874.299987792969";"m";"13.0158133333333";"77.5656683333333";
"46548.616014";"Average speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.616014";"Speed (GPS)";"0";"km/h";"13.0158133333333";"77.5656683333333";
"46548.617014";"Altitude (GPS)";"874.299987792969";"m";"13.0157696";"77.5656189";
"46549.181014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46549.339014";"Calculated engine load value";"36.078431372549";"%";"13.0157696";"77.5656189";
"46549.437014";"Engine coolant temperature";"74";"℃";"13.0157696";"77.5656189";
"46549.509014";"Calculated boost";"-0.917363692895667";"psi";"13.0157696";"77.5656189";
"46549.509014";"Intake manifold absolute pressure";"13.778585110665";"psi";"13.0157696";"77.5656189";
"46549.602014";"Engine RPM";"824";"rpm";"13.0157696";"77.5656189";
"46549.602014";"Engine RPM x1000";"0.8";"rpm";"13.0157696";"77.5656189";
"46549.695014";"Vehicle speed";"0";"km/h";"13.0157696";"77.5656189";
"46549.830014";"Intake air temperature";"40";"℃";"13.0157696";"77.5656189";
"46549.901014";"OBD Module Voltage";"14.1";"V";"13.0157696";"77.5656189";
"46550.061014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46550.147014";"Engine coolant temperature";"74";"℃";"13.0157696";"77.5656189";
"46550.214014";"OBD Module Voltage";"13.9";"V";"13.0157696";"77.5656189";
"46550.392014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46550.444014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46550.578014";"Calculated engine load value";"34.9019607843137";"%";"13.0157696";"77.5656189";
"46550.670014";"Engine coolant temperature";"74";"℃";"13.0157696";"77.5656189";
"46550.723014";"OBD Module Voltage";"14.1";"V";"13.0157696";"77.5656189";
"46550.838014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46550.900014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46551.012014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46551.062014";"Engine coolant temperature";"75";"℃";"13.0157696";"77.5656189";
"46551.116014";"OBD Module Voltage";"14.1";"V";"13.0157696";"77.5656189";
"46551.224014";"Calculated engine load value";"35.6862745098039";"%";"13.0157696";"77.5656189";
"46551.298014";"OBD Module Voltage";"13.9";"V";"13.0157696";"77.5656189";
"46551.423014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46551.471014";"Engine coolant temperature";"74";"℃";"13.0157696";"77.5656189";
"46551.530014";"OBD Module Voltage";"14.1";"V";"13.0157696";"77.5656189";
"46551.566014";"Average speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.566014";"Speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.570014";"Altitude (GPS)";"832.8";"m";"13.0157696";"77.5656189";
"46551.571014";"Altitude (GPS)";"832.8";"m";"13.0157696";"77.5656189";
"46551.571014";"Average speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.571014";"Speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.577014";"Altitude (GPS)";"874.299987792969";"m";"13.0157696";"77.5656189";
"46551.577014";"Average speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.577014";"Speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.598014";"Altitude (GPS)";"874.299987792969";"m";"13.0157696";"77.5656189";
"46551.598014";"Average speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.598014";"Speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46551.626014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46551.680014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46551.784014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46551.833014";"Engine coolant temperature";"75";"℃";"13.0157696";"77.5656189";
"46551.885014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46552.014014";"Calculated engine load value";"35.6862745098039";"%";"13.0157696";"77.5656189";
"46552.074014";"OBD Module Voltage";"14";"V";"13.0157696";"77.5656189";
"46552.174014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46552.224014";"Engine coolant temperature";"75";"℃";"13.0157696";"77.5656189";
"46552.295014";"OBD Module Voltage";"14.1";"V";"13.0157696";"77.5656189";
"46552.396014";"Calculated engine load value";"35.2941176470588";"%";"13.0157696";"77.5656189";
"46552.448014";"OBD Module Voltage";"13.9";"V";"13.0157696";"77.5656189";
"46552.533014";"Average speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46552.533014";"Speed (GPS)";"0";"km/h";"13.0157696";"77.5656189";
"46552.534014";"Altitude (GPS)";"839.6";"m";"13.0157696";"77.5656189";
"46552.537014";"Altitude (GPS)";"839.6";"m";"13.0157516666667";"77.565675";
"46552.538014";"Altitude (GPS)";"839.6";"m";"13.0157516666667";"77.565675";
"46552.538014";"Average speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.538014";"Speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.544014";"Calculated engine load value";"35.2941176470588";"%";"13.0157516666667";"77.565675";
"46552.549014";"Altitude (GPS)";"874.299987792969";"m";"13.0157516666667";"77.565675";
"46552.549014";"Average speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.549014";"Speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.550014";"Average speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.550014";"Speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.551014";"Altitude (GPS)";"874.299987792969";"m";"13.0157516666667";"77.565675";
"46552.551014";"Altitude (GPS)";"874.299987792969";"m";"13.0157516666667";"77.565675";
"46552.551014";"Average speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.551014";"Speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.605014";"Engine coolant temperature";"75";"℃";"13.0157516666667";"77.565675";
"46552.661014";"OBD Module Voltage";"14";"V";"13.0157516666667";"77.565675";
"46552.702014";"Altitude (GPS)";"874.299987792969";"m";"13.0157516666667";"77.565675";
"46552.702014";"Average speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.702014";"Speed (GPS)";"0";"km/h";"13.0157516666667";"77.565675";
"46552.824014";"Calculated engine load value";"35.2941176470588";"%";"13.0157516666667";"77.565675";
"46552.897014";"OBD Module Voltage";"14";"V";"13.0157516666667";"77.565675";
"46553.039014";"Calculated engine load value";"35.2941176470588";"%";"13.0157516666667";"77.565675";
"46553.089014";"Engine coolant temperature";"75";"℃";"13.0157516666667";"77.565675";
"46553.140014";"OBD Module Voltage";"13.9";"V";"13.0157516666667";"77.565675";
"46553.241014";"Calculated engine load value";"34.9019607843137";"%";"13.0157516666667";"77.565675";
"46553.298014";"OBD Module Voltage";"14.1";"V";"13.0157516666667";"77.565675";
"46553.387014";"Calculated engine load value";"35.2941176470588";"%";"13.0157516666667";"77.565675";
"46553.438014";"Engine coolant temperature";"75";"℃";"13.0157516666667";"77.565675";
"46553.503014";"OBD Module Voltage";"14";"V";"13.0157516666667";"77.565675";
"46553.627014";"Calculated engine load value";"34.9019607843137";"%";"13.0157516666667";"77.565675";
"46553.702014";"OBD Module Voltage";"14.1";"V";"13.0157516666667";"77.565675";
"46553.773014";"Altitude (GPS)";"844.5";"m";"13.015715";"77.5657133333333";
"46553.774014";"Altitude (GPS)";"844.5";"m";"13.015715";"77.5657133333333";
"46553.774014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.774014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.774014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.774014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.775014";"Altitude (GPS)";"844.5";"m";"13.015715";"77.5657133333333";
"46553.779014";"Altitude (GPS)";"874.299987792969";"m";"13.015715";"77.5657133333333";
"46553.779014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.779014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.780014";"Altitude (GPS)";"874.299987792969";"m";"13.015715";"77.5657133333333";
"46553.780014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.780014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.784014";"Altitude (GPS)";"873.700012207031";"m";"13.015715";"77.5657133333333";
"46553.784014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.784014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.787014";"Altitude (GPS)";"873.700012207031";"m";"13.015715";"77.5657133333333";
"46553.787014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.787014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.788014";"Altitude (GPS)";"873.700012207031";"m";"13.015715";"77.5657133333333";
"46553.788014";"Average speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.788014";"Speed (GPS)";"0";"km/h";"13.015715";"77.5657133333333";
"46553.817014";"Calculated engine load value";"34.9019607843137";"%";"13.015715";"77.5657133333333";
"46553.869014";"Engine coolant temperature";"75";"℃";"13.015715";"77.5657133333333";
"46553.911014";"OBD Module Voltage";"14";"V";"13.015715";"77.5657133333333";
